title,abbr,key,category,parent,parent_key,description,url,jurisdiction,jurisdiction_code,source,source_url,address,contact,email,tags,created_at,updated_at
Agricultural land commission,,bc/agricultural-land-commission,,Agricultural Land Commission,bc/agricultural-land-commission,,http://www.alc.gov.bc.ca/,British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,,,ALCBurnaby@Victoria1.gov.bc.ca,,6/6/13,7/8/13
Office of the auditor general for local government,,bc/office-of-the-auditor-general-for-local-government,,Auditor General for Local Government,bc/auditor-general-for-local-government,,http://www.aglg.ca,British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,,,info@aglg.ca,,6/6/13,7/8/13
Bc innovation council,,bc/bc-innovation-council,,BC Innovation Council,bc/bc-innovation-council,,http://www.bcic.ca,British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,,,info@bcic.ca,,6/6/13,7/8/13
Bc public service agency,,bc/bc-public-service-agency,,BC Public Service Agency,bc/bc-public-service-agency,,"",British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,,,,,6/6/13,7/8/13
Executive,,bc/executive,,BC Public Service Agency,bc/bc-public-service-agency,,http://www.bcpublicservice.ca,British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,"P.O. BOX 9404, STN. PROV. GOVT Victoria BC V8W9V1 CANADA",,,,6/6/13,7/8/13
Executive account management and consulting,,bc/executive-account-management-and-consulting,,BC Public Service Agency,bc/bc-public-service-agency,,"",British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,"P.O. BOX 9404, STN. PROV. GOVT Victoria BC V8W9V1 CANADA",,,,6/6/13,7/8/13
Financial management division,,bc/financial-management-division,,BC Public Service Agency,bc/bc-public-service-agency,,"",British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,"P.O. BOX 9481, STN. PROV. GOVT Victoria BC V8W9W6 CANADA",,,,6/6/13,7/8/13
Lean program management office,,bc/lean-program-management-office,,BC Public Service Agency,bc/bc-public-service-agency,,"",British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,PO Box 9404 Stn Prov Govt Victoria BC V8W2H2 Canada,,BCPSA.LeanProgramOffice@gov.bc.ca,,6/6/13,7/8/13
Service operations division,,bc/service-operations-division,,BC Public Service Agency,bc/bc-public-service-agency,,"",British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,"P.O. BOX 9404, STN. PROV. GOVT Victoria BC V8W9V1 CANADA",,,,6/6/13,7/8/13
Hr services,,bc/hr-services,,BC Public Service Agency,bc/bc-public-service-agency,,"",British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,,,,,6/6/13,7/8/13
Operational reporting & analysis,,bc/operational-reporting-analysis,,BC Public Service Agency,bc/bc-public-service-agency,,"",British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,"P.O. BOX 9404, STN. PROV. GOVT Victoria BC V8W9V1 CANADA",,,,6/6/13,7/8/13
Service migration & integration,,bc/service-migration-integration,,BC Public Service Agency,bc/bc-public-service-agency,,"",British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,,,,,6/6/13,7/8/13
Hr & payroll operations,,bc/hr-payroll-operations,,BC Public Service Agency,bc/bc-public-service-agency,,"",British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,PO BOX 9437 STN PROV GOVT Victoria BC V8W9V3 CANADA,,,,6/6/13,7/8/13
Talent management division,,bc/talent-management-division,,BC Public Service Agency,bc/bc-public-service-agency,,http://www.bcpublicserviceagency.gov.bc.ca/,British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,"P.O. BOX 9404, STN. PROV. GOVT Victoria BC V8W9V1 CANADA",,,,6/6/13,7/8/13
Executive recruitment,,bc/executive-recruitment,,BC Public Service Agency,bc/bc-public-service-agency,,"",British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,"P.O. BOX 9404, STN. PROV. GOVT Victoria BC V8W9V1 CANADA",,,,6/6/13,7/8/13
Hiring centre,,bc/hiring-centre,,BC Public Service Agency,bc/bc-public-service-agency,,"",British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,PO Box 9499 STN PROV GOVT Victoria BC V8W9N9,,,,6/6/13,7/8/13
Learning centre,,bc/learning-centre,,BC Public Service Agency,bc/bc-public-service-agency,,"",British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,PO Box 9404 Stn Prov Govt VICTORIA BC V8W9N7,,,,6/6/13,7/8/13
