title,abbr,key,category,parent,parent_key,description,url,jurisdiction,jurisdiction_code,source,source_url,address,contact,email,tags,created_at,updated_at
Atlantic Pilotage Authority,APA,ca/APA,Crown Corporation,"Transport, Infrastructure and Communities",ca/transport-infrastructure-and-communities,,www.atlanticpilotage.com,Canada,CA,Inventory of Government of Canada Organizations,http://www.tbs-sct.gc.ca/reports-rapports/cc-se/data-eng.asp,"Cogswell Tower,  Suite 910, 2000 Barrington Street, Halifax, NS, B3J 3K1, Canada",,pmacarthur@atlanticpilotage.com,,6/18/13,7/8/13
Atomic Energy of Canada Limited,atomic-energy-of-canada-limited,ca/atomic-energy-of-canada-limited,Crown Corporation,Natural Resources,ca/natural-resources,,www.aecl.ca,Canada,CA,Inventory of Government of Canada Organizations,http://www.tbs-sct.gc.ca/reports-rapports/cc-se/data-eng.asp,"1 Plant Road, Chalk River Laboratories, Chalk River, ON, K0J 1J0, Canada",,librarycr@aecl.ca,,6/18/13,7/8/13
Bank of Canada,bank-of-canada,ca/bank-of-canada,Crown Corporation,Finance,ca/finance,,www.bankofcanada.ca,Canada,CA,Inventory of Government of Canada Organizations,http://www.tbs-sct.gc.ca/reports-rapports/cc-se/data-eng.asp,"234 Wellington Street, Ottawa, ON, K1A 0G9, Canada",,info@bankofcanada.ca,,6/18/13,7/8/13
Blue Water Bridge Authority,BWBC,ca/BWBC,Crown Corporation,"Transport, Infrastructure and Communities",ca/transport-infrastructure-and-communities,,www.bwbc.gc.ca,Canada,CA,Inventory of Government of Canada Organizations,http://www.tbs-sct.gc.ca/reports-rapports/cc-se/data-eng.asp,"1555 Venetian Boulevard, Point Edward, ON, N7T 0A9, Canada",,shorvath@bwbc.gc.ca,,6/18/13,7/8/13
Business Development Bank of Canada,BDC,ca/BDC,Crown Corporation,Industry,ca/industry,,www.bdc.ca,Canada,CA,Inventory of Government of Canada Organizations,http://www.tbs-sct.gc.ca/reports-rapports/cc-se/data-eng.asp,"BDC Building, 5 Place Ville Marie,  Suite 300, Montréal, QC, H3B 5E7, Canada",,info@bdc.ca,,6/18/13,7/8/13
Canada Council for the Arts,canada-council-for-the-arts,ca/canada-council-for-the-arts,Crown Corporation,Canadian Heritage and Official Languages,ca/canadian-heritage-and-official-languages,,www.canadacouncil.ca,Canada,CA,Inventory of Government of Canada Organizations,http://www.tbs-sct.gc.ca/reports-rapports/cc-se/data-eng.asp,"350 Albert Street,  12th Floor, PO Box 1047, Ottawa, ON, K1P 5V8, Canada",,info@canadacouncil.ca,,6/18/13,7/8/13
Canada Deposit Insurance Corporation,CDIC,ca/CDIC,Crown Corporation,Finance,ca/finance,,www.cdic.ca,Canada,CA,Inventory of Government of Canada Organizations,http://www.tbs-sct.gc.ca/reports-rapports/cc-se/data-eng.asp,"50 O’Connor Street,  17th Floor, PO Box 2340 STN D, Ottawa, ON, K1P 5W5, Canada",,info@cdic.ca,,6/18/13,7/8/13
Canada Development Investment Corporation,CDEV,ca/CDEV,Crown Corporation,Finance,ca/finance,,www.cdiccei.ca,Canada,CA,Inventory of Government of Canada Organizations,http://www.tbs-sct.gc.ca/reports-rapports/cc-se/data-eng.asp,"1240 Bay Street,  Suite 302, Toronto, ON, M5R 2A7, Canada",,info@cdiccei.ca,,6/18/13,7/8/13
Canada Employment Insurance Financing Board,canada-employment-insurance-financing-board,ca/canada-employment-insurance-financing-board,Crown Corporation,Human Resources and Skills Development,ca/human-resources-and-skills-development,,www.ceifb-ofaec.ca,Canada,CA,Inventory of Government of Canada Organizations,http://www.tbs-sct.gc.ca/reports-rapports/cc-se/data-eng.asp,"350 Albert Street,  Suite 315, Ottawa, ON, K1R 1A4, Canada",,info@ceifb-ofaec.ca,,6/18/13,7/8/13
Canada Lands Company Limited,canada-lands-company-limited,ca/canada-lands-company-limited,Crown Corporation,Public Works and Government Services,ca/public-works-and-government-services,,www.clc.ca,Canada,CA,Inventory of Government of Canada Organizations,http://www.tbs-sct.gc.ca/reports-rapports/cc-se/data-eng.asp,"1 University Avenue,  Suite 1200, Toronto, ON, M5J 2P1, Canada",,info@clc.ca,,6/18/13,7/8/13
