id,name,abbreviation,other_names,description,classification,parent_id,founding_date,dissolution_date,image,url,jurisdiction_code,email,address,contact,tags,source_url
01f66542-c3e5-4bae-8bc0-d3b5f8aa73cb,Designation Appeal Board (Student Financial Assistance),,,,"Boards, Commissions and Corporations",ocd-organization/country:ca/province:nb,,,,,CA-NB,,"Chestnut Complex
P.O. Box 6000
Fredericton NB  E3B 5H1",,,http://www1.gnb.ca/cnb/DsS/display-e.asp?typyofPublicBodyID=2
02616609-3ef0-4593-97ec-fcb1b35d3c8e,Université de Moncton,,,,Universities,ocd-organization/country:ca/province:nb,,,,,CA-NB,,"18 Antonine-Maillet Avenue
Moncton NB  E1A 3E9",,,http://www1.gnb.ca/cnb/DsS/universities-e.asp?typyofPublicBodyID=4&category_E=Universities
026973a4-f55c-4ecc-a26e-d6c2e7ac4cd0,Tide Head,,,,"Municipalities (Cities, Towns, Villages)",ocd-organization/country:ca/province:nb,,,,,CA-NB,,"6 Mountain Street
Tide Head NB  E3N 4J9",,,"http://www1.gnb.ca/cnb/DsS/municipalities-e.asp?typyofPublicBodyID=4&category_E=Municipalities%20(Cities,%20Towns,%20Villages)"
05581fd3-f67c-4d9a-9d95-40db2c5825ff,New Brunswick Housing Corporation,,,,"Boards, Commissions and Corporations",ocd-organization/country:ca/province:nb,,,,,CA-NB,,"Sartain MacDonald Building
P.O. Box 6000
Fredericton NB  E3B 5H1",,,http://www1.gnb.ca/cnb/DsS/display-e.asp?typyofPublicBodyID=2
058f1a14-b8c6-408d-865b-ec61ebcdbbf5,Blackville,,,,"Municipalities (Cities, Towns, Villages)",ocd-organization/country:ca/province:nb,,,,,CA-NB,,"12 South Bartholomew Road
Blackville NB  E9B 1N2",,,"http://www1.gnb.ca/cnb/DsS/municipalities-e.asp?typyofPublicBodyID=4&category_E=Municipalities%20(Cities,%20Towns,%20Villages)"
059399e6-26ae-4e07-af85-5d3ad8d4bae1,Charlo,,,,"Municipalities (Cities, Towns, Villages)",ocd-organization/country:ca/province:nb,,,,,CA-NB,,"614 Chaleur Street
Charlo NB  E8E 2G6",,,"http://www1.gnb.ca/cnb/DsS/municipalities-e.asp?typyofPublicBodyID=4&category_E=Municipalities%20(Cities,%20Towns,%20Villages)"
05bdfaf0-b4dd-4f36-bd76-27765fb05d1b,Réseau de Santé Vitalité Health Network (formerly Regional Health Authority A),,,,Regional Health Authorities,ocd-organization/country:ca/province:nb,,,,,CA-NB,,"275 Main Street
Bathurst NB  E2A 1A9",,,http://www1.gnb.ca/cnb/DsS/RegionalHealthAuthorities-e.asp?typyofPublicBodyID=4&category_E=Regional%20Health%20Authorities
0725c8ce-f196-48c4-b537-e89565610ffe,RSC 12,,,,Regional Service Commissions,ocd-organization/country:ca/province:nb,,,,,CA-NB,,"633 Main Street
Woodstock NB  E7M 2C6",,,http://www1.gnb.ca/cnb/DsS/RegionalServiceCommission-e.asp?typyofPublicBodyID=4&category_E=Regional%20Service%20Commissions
0b1b68d6-8057-4aa6-b0bb-411e88427f24,Miramichi,,,,"Municipalities (Cities, Towns, Villages)",ocd-organization/country:ca/province:nb,,,,,CA-NB,,"141 Henry Street
Miramichi NB  E1V 2N5",,,"http://www1.gnb.ca/cnb/DsS/municipalities-e.asp?typyofPublicBodyID=4&category_E=Municipalities%20(Cities,%20Towns,%20Villages)"
19c62ed7-591c-42a0-b616-4db58be0fc0c,RSC 10,,,,Regional Service Commissions,ocd-organization/country:ca/province:nb,,,,,CA-NB,,"P.O. Box 70
St. Stephen NB  E3L 2W9",,,http://www1.gnb.ca/cnb/DsS/RegionalServiceCommission-e.asp?typyofPublicBodyID=4&category_E=Regional%20Service%20Commissions
