title,abbr,key,category,parent,parent_key,description,url,jurisdiction,jurisdiction_code,source,source_url,address,contact,email,tags,created_at,updated_at
Advanced Education and Skills,advanced-education-and-skills,nl/advanced-education-and-skills,Departments,,," The Department of Advanced Education and Skills has a mandate to ensure the province has highly educated graduates and skilled workers for a fast-growing economy. This will be achieved through a spectrum of services, supports and strategies. Find out more about what we do... ",http://www.aes.gov.nl.ca,Newfoundland and Labrador,ocd-division/country:ca/province:nl,Newfoundland and Labrador Departments and Agencies,http://www.gov.nl.ca/departments.html," P.O. Box 8700 St. John's, NL A1B 4J6 ",,aesweb@gov.nl.ca,,7/8/13,7/8/13
"Child, Youth and Family Services",child-youth-and-family-services,nl/child-youth-and-family-services,Departments,,,"The Department of Child, Youth and Family Services is a new provincial department dedicated to helping ensure the protection and well-being of children and youth in Newfoundland and Labrador. This will be accomplished through the provision and development of programs, policies, standards and services primarily related to the following Acts: Children and Youth Care and Protection Act, Adoption Act, Child Care Services Act, Youth Criminal Justice Act , Young Persons Offences Act",http://www.gov.nl.ca/cyfs/index.html,Newfoundland and Labrador,ocd-division/country:ca/province:nl,Newfoundland and Labrador Departments and Agencies,http://www.gov.nl.ca/departments.html," P.O. Box 8700 St. John's, NL A1B 4J6 ",,,,7/8/13,7/8/13
Education,education,nl/education,Departments,,,"The Department of Education is responsible for early childhood learning, the K-12 school system, and public libraries in Newfoundland and Labrador. The vision of the Department of Education is to provide citizens with the values, knowledge and skills necessary to be productive and contributing members of society.Find out more about what we do...",http://www.ed.gov.nl.ca/edu/,Newfoundland and Labrador,ocd-division/country:ca/province:nl,Newfoundland and Labrador Departments and Agencies,http://www.gov.nl.ca/departments.html," P.O. Box 8700 St. John's, NL A1B 4J6 ",,education@gov.nl.ca,,7/8/13,7/8/13
Environment and Conservation,environment-and-conservation,nl/environment-and-conservation,Departments,,,"The Department of Environment and Conservation is responsible for the protection and enhancement of the environment, management of the province’s wildlife, inland fish, water, parks, and Crown land resources. The Department is also leading Government’s response to climate change and the Sustainable Development initiatives.Find out more about what we do...",http://www.env.gov.nl.ca/env/,Newfoundland and Labrador,ocd-division/country:ca/province:nl,Newfoundland and Labrador Departments and Agencies,http://www.gov.nl.ca/departments.html," 4th Floor, West Block Confederation Building P.O. Box 8700 St. John's, NL A1B 4J6 ",,envcinquires@gov.nl.ca,,7/8/13,7/8/13
Executive Council,executive-council,nl/executive-council,Departments,,,"Executive Council is responsible for the overall operations of Government of Newfoundland and Labrador, decision-making, planning, formulation of policy and the general development of Government of Newfoundland and Labrador and all its resources.",http://www.exec.gov.nl.ca/exec/,Newfoundland and Labrador,ocd-division/country:ca/province:nl,Newfoundland and Labrador Departments and Agencies,http://www.gov.nl.ca/departments.html,"",,,,7/8/13,7/8/13
Cabinet Secretariat,cabinet-secretariat,nl/cabinet-secretariat,Departments,Executive Council,nl/executive-council,"",http://www.exec.gov.nl.ca/exec/cabinet/,Newfoundland and Labrador,ocd-division/country:ca/province:nl,Newfoundland and Labrador Departments and Agencies,http://www.gov.nl.ca/departments.html,"",,,,7/8/13,7/8/13
Communications Branch,communications-branch,nl/communications-branch,Departments,Executive Council,nl/executive-council,"The Communications Branch provides strategic communications counsel and support to the Premier and Cabinet; manages corporate communications; co-ordinates communications activities across government and manages the provincial brand strategy. Roles include developing communications and consultation policy and procedures; advising on communications and consultation planning; managing news release distribution services; overseeing government's Web content standards; providing multimedia communications support; and through the brand strategy, helping to establish Newfoundland and Labrador as one of the world's most enviable places to live, work, and do business.",http://www.exec.gov.nl.ca/exec/communications/index.html,Newfoundland and Labrador,ocd-division/country:ca/province:nl,Newfoundland and Labrador Departments and Agencies,http://www.gov.nl.ca/departments.html,"",,,,7/8/13,7/8/13
Human Resource Secretariat,human-resource-secretariat,nl/human-resource-secretariat,Departments,Executive Council,nl/executive-council,"The Human Resource Secretariat (HRS) provides leadership and support in the development and management of human resource policies, programs and services that support the overall effectiveness of government.Find out more about what we do...",http://www.exec.gov.nl.ca/exec/pss/,Newfoundland and Labrador,ocd-division/country:ca/province:nl,Newfoundland and Labrador Departments and Agencies,http://www.gov.nl.ca/departments.html," Main Floor, East Block, Confederation Building P.O. Box 8700 St. John's, NL A1B 4J6 ",,HRSInfo@gov.nl.ca,,7/8/13,7/8/13
Intergovernmental and Aboriginal Affairs Secretariat,intergovernmental-and-aboriginal-affairs-secretariat,nl/intergovernmental-and-aboriginal-affairs-secretariat,Departments,Executive Council,nl/executive-council,"Intergovernmental and Aboriginal Affairs Secretariat is responsible for coordinating the Provincial Government’s intergovernmental policies and strategies, as well as managing all government's activities related to Aboriginal affairs, including developing policy and programs, managing federal-provincial agreements, negotiating land claims and providing public information.",http://www.exec.gov.nl.ca/exec/igas/,Newfoundland and Labrador,ocd-division/country:ca/province:nl,Newfoundland and Labrador Departments and Agencies,http://www.gov.nl.ca/departments.html," P.O. Box 8700 St. John's, NL A1B 4J6 ",,,,7/8/13,7/8/13
Labrador Affairs Office,labrador-affairs-office,nl/labrador-affairs-office,Departments,Executive Council,nl/executive-council,"The Labrador Affairs Office is responsible for coordinating government's activities related to Labrador affairs, including developing policy and programs, managing federal-provincial agreements, public information, and all matters of significant public interest in Labrador.Find out more about what we do...",http://www.laa.gov.nl.ca/laa/ ,Newfoundland and Labrador,ocd-division/country:ca/province:nl,Newfoundland and Labrador Departments and Agencies,http://www.gov.nl.ca/departments.html, 21 Broomfield Street P.O. Box 3014 Happy Valley - Goose Bay NL A0P 1E0 ,,laa@gov.nl.ca,,7/8/13,7/8/13
