title,abbr,key,category,parent,parent_key,description,url,jurisdiction,jurisdiction_code,source,source_url,address,contact,email,tags,created_at,updated_at
Agriculture,,ns/agriculture,Departments,,,,http://novascotia.ca/agri/,Nova Scotia,NS,Government Directory,http://novascotia.ca/government/gov_index.asp,"1800 Argyle Street, 6th floor (Suite 605) Halifax, Nova ScotiaB3J 3N8",,,,6/10/13,7/8/13
"Communities, Culture and Heritage",,ns/communities-culture-and-heritage,Departments,,,,http://novascotia.ca/cch/,Nova Scotia,NS,Government Directory,http://novascotia.ca/government/gov_index.asp,"1741 Brunswick St., 3rd Floor P. O. Box 456, STN Central Canada   B3J 2R5",,,,6/10/13,7/8/13
Community Services,,ns/community-services,Departments,,,,http://novascotia.ca/coms/,Nova Scotia,NS,Government Directory,http://novascotia.ca/government/gov_index.asp,,,,,6/10/13,7/8/13
Economic and Rural Development and Tourism,,ns/economic-and-rural-development-and-tourism,Departments,,,,http://novascotia.ca/econ/,Nova Scotia,NS,Government Directory,http://novascotia.ca/government/gov_index.asp,,,comm@gov.ns.ca,,6/10/13,7/8/13
"
Education and Early Childhood Development",,ns/education-and-early-childhood-development,Departments,,,,http://www.ednet.ns.ca/,Nova Scotia,NS,Government Directory,http://novascotia.ca/government/gov_index.asp,P.O. Box 578 2021 Brunswick Street B3J 2S9,,RAE@gov.ns.ca,,6/10/13,7/8/13
Energy,,ns/energy,Departments,,,,http://novascotia.ca/energy/,Nova Scotia,NS,Government Directory,http://novascotia.ca/government/gov_index.asp,,,chisledp@gov.ns.ca,,6/10/13,7/8/13
Environment,,ns/environment,Departments,,,,http://novascotia.ca/nse/,Nova Scotia,NS,Government Directory,http://novascotia.ca/government/gov_index.asp,PO Box 442 	5151 Terminal Road 	B3J 2P8,,askus@gov.ns.ca,,6/10/13,7/8/13
Finance,,ns/finance,Departments,,,,http://novascotia.ca/fina/,Nova Scotia,NS,Government Directory,http://novascotia.ca/government/gov_index.asp,,,,,6/10/13,7/8/13
Fisheries and Aquaculture,,ns/fisheries-and-aquaculture,Departments,,,,http://novascotia.ca/fish/,Nova Scotia,NS,Government Directory,http://novascotia.ca/government/gov_index.asp,"6th floor (Suite 605), WTCC B3J 3N8",,,,6/10/13,7/8/13
Health and Wellness,,ns/health-and-wellness,Departments,,,,http://novascotia.ca/dhw/,Nova Scotia,NS,Government Directory,http://novascotia.ca/government/gov_index.asp,"PO Box 488 Halifax, Nova Scotia, B3J 2R8",,,,6/10/13,7/8/13
