title,abbr,key,category,parent,parent_key,description,url,jurisdiction,jurisdiction_code,source,source_url,address,contact,email,tags,created_at,updated_at
accessibility standards advisory council,,on/accessibility-standards-advisory-council,agency,"  economic development, trade and employment",economic-development-trade-and-employment,"  At the direction of the Minister, the Council shall advise the Minister on, a) the process for the development of accessibility standards and the progress made by standards development committees in the development of proposed accessibility standards and in achieving the purposes of the Act; b) accessibility reports prepared under this Act; c) programs of public information related to this Act; and d) all other matters related to the subject-matter of this Act that the Minister directs.",  www.mcss.gov.on.ca/en/mcss/programs/accessibility/partnerships/asac/index.aspx,Ontario,ocd-division/country:ca/province:on,Ontario Public Appointments Secretariat,https://www.pas.gov.on.ca/scripts/en/BoardsList.asp,"  777 Bay Street, 6th Floor   Toronto M7A 2J4 ON",,,,6/5/13,7/8/13
advertising review board,,on/advertising-review-board,agency,  government services,government-services,"  The Advertising Review Board monitors advertising and creative communications services policy, oversees the advertising or creative communications services agency selection process and ensures government policy standards are met.",  N/A,Ontario,ocd-division/country:ca/province:on,Ontario Public Appointments Secretariat,https://www.pas.gov.on.ca/scripts/en/BoardsList.asp,"  2nd Floor, Room M2-56, Macdonald Block, 900 Bay Street, Toronto M7A 1N3 ON",,,,6/5/13,7/8/13
advisory council on drinking water quality and testing standards,,on/advisory-council-on-drinking-water-quality-and-testing-standards,agency,  environment,environment,  The mandate of the Council is to provide technical and scientific advice and make recommendations to the Minister on matters related to standards for drinking-water quality and testing.,  www.odwac.gov.on.ca,Ontario,ocd-division/country:ca/province:on,Ontario Public Appointments Secretariat,https://www.pas.gov.on.ca/scripts/en/BoardsList.asp,  40 St. Clair Avenue West 3rd Floor  Toronto M4V 1M2 ON,,,,6/5/13,7/8/13
advisory council on special education,,on/advisory-council-on-special-education,agency,  education,education,"  The council advises the Minister on any matter related to the establishment and provision of special education programs and special education services for exceptional pupils, including the identification and provision of early intervention programs for students with special needs. In the area of special education, it reacts to Ministry proposals or positions, identifies problem areas and makes recommendations for the Ministry's consideration. It also provides information and advice to Ministry staff and submits annual reports on its activity to the Minister.",  www.edu.gov.on.ca/eng/general/abcs/acse/acse_eng.html,Ontario,ocd-division/country:ca/province:on,Ontario Public Appointments Secretariat,https://www.pas.gov.on.ca/scripts/en/BoardsList.asp,"  900 Bay St, 18th Fl   Toronto M7A 1L2 ON",,,,6/5/13,7/8/13
advisory council to the order of ontario,,on/advisory-council-to-the-order-of-ontario,agency,  citizenship and immigration,citizenship-and-immigration,"  The council considers all nominations for the Order of Ontario and submits a list to the Lieutenant Governor in Council of those who, in its opinion, merit an appointment to the Order of Ontario.",  N/A,Ontario,ocd-division/country:ca/province:on,Ontario Public Appointments Secretariat,https://www.pas.gov.on.ca/scripts/en/BoardsList.asp,"  Ontario Honours and Awards Secretariat, Ministry of Citizenship and Immigration 4th Floor 400 University Avenue Toronto M7A 2R9 ON",,,,6/5/13,7/8/13
agricorp,,on/agricorp,agency,  agriculture and food,agriculture-and-food,"  Agricorp is an Ontario government agency created in 1997 with the mandate of delivering crop insurance and other agricultural business risk management (BRM) programs. Agricorp currently delivers three core programs, AgriStability, Production Insurance (PI) and the suite of Risk Management Programs (RMP), as well as several other smaller programs (e.g., Farm Business Registration). Agricorp is governed by a board of directors appointed by the Lieutenant Governor in Council.",  www.agricorp.com,Ontario,ocd-division/country:ca/province:on,Ontario Public Appointments Secretariat,https://www.pas.gov.on.ca/scripts/en/BoardsList.asp,"  1 Stone Road West, 3rd Floor NW Box 3660 Station Central Guelph N1H 8M4 ONT",,,,6/5/13,7/8/13
agricultural research institute of ontario,,on/agricultural-research-institute-of-ontario,agency,  agriculture and food,agriculture-and-food,"  The role of the ARIO is to (1) inquire into programs of research with respect to agriculture, food and veterinary medicine and consumer studies; (2) select and recommend areas of research for the betterment of agriculture, food, veterinary medicine and consumer studies; and (3) stimulate interest in research as a means of developing a high degree of efficiency in the production and marketing of agricultural and food products in Ontario. In general, ARIO provides strategic advice to the Ministry regarding the direction of Ministry funded research programs.",  www.omafra.gov.on.ca/english/research/ario/institute.htm,Ontario,ocd-division/country:ca/province:on,Ontario Public Appointments Secretariat,https://www.pas.gov.on.ca/scripts/en/BoardsList.asp,"  2nd Floor NW, 1 Stone Road West,  Guelph N1G 4Y2 ON",,,,6/5/13,7/8/13
"agriculture, food and rural affairs appeal tribunal",,on/agriculture-food-and-rural-affairs-appeal-tribunal,agency,  agriculture and food,agriculture-and-food,  The Tribunal hears and decides issues relative to: the technical and cost apportionment of projects under the Drainage Act; disputes over the adjustment of loss under a crop insurance contract; exemptions for religious reasons from registration and/or paying the fee associated with joining an accredited farm organization; accreditation of farm organizations; disputes under the Farm Products Marketing Act; farmland classification for municipal taxation purposes; disputes under the Farm Implements Act; disputes under the Agricultural Employees Protection Act; and a number of other disputes under various statutes.,  www.omafra.gov.on.ca/english/tribunal/index.html,Ontario,ocd-division/country:ca/province:on,Ontario Public Appointments Secretariat,https://www.pas.gov.on.ca/scripts/en/BoardsList.asp,  1st Floor NW 1 Stone Road West  Guelph N1G 4Y2 Ont.,,,,6/5/13,7/8/13
alcohol and gaming commission of ontario,,on/alcohol-and-gaming-commission-of-ontario,agency,  attorney general,attorney-general,"  The Commission is responsible for the administration of the Liquor Licence Act, Gaming Control Act and the Wine Content and Labelling Act, and executing assigned statutory duties including acting as an appeal tribunal.",  www.agco.on.ca,Ontario,ocd-division/country:ca/province:on,Ontario Public Appointments Secretariat,https://www.pas.gov.on.ca/scripts/en/BoardsList.asp,  90 Sheppard Avenue East Suite 200  Toronto M2N 0A4 ONT,,,,6/5/13,7/8/13
algoma university board of governors,,on/algoma-university-board-of-governors,agency,"  training, colleges and universities",training-colleges-and-universities,"  The board is responsible for governing and managing the affairs of the University, including the power, (a) to determine the mission, vision and values of the University; (b) to appoint and remove a chancellor; (c) to appoint and remove the president; (d) to appoint, promote, suspend and remove members of the teaching staff and non-teaching employees of the University; (e) to fix the number, duties and salaries and other benefits of the teaching staff and of the non-teaching employees of the University; (f) to appoint committees and assign or delegate to them such duties and responsibilities as may be provided in the by-laws adopted by the board, including authorizing them to act on behalf of the board in the matters specified in the by-laws; (g) to approve the annual budget of the University and to monitor its implementation; (h) to establish and collect fees and charges for tuition and other services that may be offered by the University or that may be approved by the board on behalf of any organization or group of the University; (i) to regulate the conduct of students, staff and all persons who use the property of the University, including denying any person access to the property; (j) to define, for the purposes of the by-laws adopted by the board, the following terms: staff, manager, professor, associate professor, assistant professor, lecturer, associate, instructor and tutor; (k) to conclusively determine which body within the University has jurisdiction over any matter; and (l) to make by-laws, resolutions and rules for the conduct of its affairs.",  www.auc.ca,Ontario,ocd-division/country:ca/province:on,Ontario Public Appointments Secretariat,https://www.pas.gov.on.ca/scripts/en/BoardsList.asp,  1520 Queen Street East   Sault Ste. Marie P6A 2G4 ON,"-, -",,,6/5/13,7/8/13
