title,abbr,key,category,parent,parent_key,description,url,jurisdiction,jurisdiction_code,source,source_url,address,contact,email,tags,created_at,updated_at
ASSS DE CHAUDIÈRE-APPALACHES,,qc/asss-de-chaudiere-appalaches,AGENCES DE LA SANTÉ,,,,,Quebec,ocd-division/country:ca/province:qc,Commision d'accès à l'information du Québec,http://www.cai.gouv.qc.ca/documents/CAI_liste_resp_acces.pdf,"363, rte Cameron Sainte-Marie (QC) G6E 3E2",Guylaine Morin,guylainemorin@ssss.gouv.qc.ca,,5/17/13,7/8/13
ASSS DE LA CAPITALE-NATIONALE,,qc/asss-de-la-capitale-nationale,AGENCES DE LA SANTÉ,,,,,Quebec,ocd-division/country:ca/province:qc,Commision d'accès à l'information du Québec,http://www.cai.gouv.qc.ca/documents/CAI_liste_resp_acces.pdf,"555, boul. Wilfrid-Hamel E. Québec (QC) G1M 3X7",Suzanne Rompré,suzanne.rompre@ssssf.gouv.qc.ca,,5/17/13,7/8/13
ASSS DE LA CÔTE-NORD,,qc/asss-de-la-cote-nord,AGENCES DE LA SANTÉ,,,,,Quebec,ocd-division/country:ca/province:qc,Commision d'accès à l'information du Québec,http://www.cai.gouv.qc.ca/documents/CAI_liste_resp_acces.pdf,"691, rue Jalbert Baie-Comeau (QC) G5C 2A1",Sandra Morin,sandra_morin@ssss.gouv.qc.ca,,5/17/13,7/8/13
ASSS DE LA GASPÉSIE-ILES-DE-LA-MADELEINE,,qc/asss-de-la-gaspesie-iles-de-la-madeleine,AGENCES DE LA SANTÉ,,,,,Quebec,ocd-division/country:ca/province:qc,Commision d'accès à l'information du Québec,http://www.cai.gouv.qc.ca/documents/CAI_liste_resp_acces.pdf,"144, boul. Gaspé Gaspé (QC) G4X 1A9",Marie-Christine Fortin,marie-christine.fortin.asssgim@ssss.gouv.qc.ca,,5/17/13,7/8/13
ASSS DE LA MAURICIE ET DU CENTRE-DU-QUÉBEC,,qc/asss-de-la-mauricie-et-du-centre-du-quebec,AGENCES DE LA SANTÉ,,,,,Quebec,ocd-division/country:ca/province:qc,Commision d'accès à l'information du Québec,http://www.cai.gouv.qc.ca/documents/CAI_liste_resp_acces.pdf,"550, rue Bonaventure Trois-Rivières (QC) G9A 2B5",Gaétan Lamy,,,5/17/13,7/8/13
ASSS DE LA MONTÉRÉGIE,,qc/asss-de-la-monteregie,AGENCES DE LA SANTÉ,,,,,Quebec,ocd-division/country:ca/province:qc,Commision d'accès à l'information du Québec,http://www.cai.gouv.qc.ca/documents/CAI_liste_resp_acces.pdf,"1255, rue Beauregard Longueuil (QC) J4K 2M3",Christine Daniel,christine.daniel.agence16@ssss.gouv.qc.ca,,5/17/13,7/8/13
ASSS DE L'ABITIBI-TÉMISCAMINGUE,,qc/asss-de-l-abitibi-temiscamingue,AGENCES DE LA SANTÉ,,,,,Quebec,ocd-division/country:ca/province:qc,Commision d'accès à l'information du Québec,http://www.cai.gouv.qc.ca/documents/CAI_liste_resp_acces.pdf,"1, 9e Rue Rouyn-Noranda (QC) J9X 2A9",Denise Stewart,denise_stewart@ssss.gouv.qc.ca,,5/17/13,7/8/13
ASSS DE L'ABITIBI-TÉMISCAMINGUE,,qc/asss-de-l-abitibi-temiscamingue,AGENCES DE LA SANTÉ,,,,,Quebec,ocd-division/country:ca/province:qc,Commision d'accès à l'information du Québec,http://www.cai.gouv.qc.ca/documents/CAI_liste_resp_acces.pdf,"1, 9e Rue Rouyn-Noranda (QC) J9X 2A9",Marie-Eve Therrien,marieeve_therrien@ssss.gouv.qc.ca,,5/17/13,7/8/13
ASSS DE LANAUDIÈRE,,qc/asss-de-lanaudiere,AGENCES DE LA SANTÉ,,,,,Quebec,ocd-division/country:ca/province:qc,Commision d'accès à l'information du Québec,http://www.cai.gouv.qc.ca/documents/CAI_liste_resp_acces.pdf,"345, rue Curé-Majeau Joliette (QC) J6E 8S8",Doris Prince,doris.prince@ssss.gouv.qc.ca,,5/17/13,7/8/13
ASSS DE LAVAL,,qc/asss-de-laval,AGENCES DE LA SANTÉ,,,,,Quebec,ocd-division/country:ca/province:qc,Commision d'accès à l'information du Québec,http://www.cai.gouv.qc.ca/documents/CAI_liste_resp_acces.pdf,"800, boul. Chomedey, Tour A Laval (QC) H7V 3Y4",Ginette Bigué,gbigue_reg13@ssss.gouv.qc.ca,,5/17/13,7/8/13
ASSS DE L'ESTRIE,,qc/asss-de-l-estrie,AGENCES DE LA SANTÉ,,,,,Quebec,ocd-division/country:ca/province:qc,Commision d'accès à l'information du Québec,http://www.cai.gouv.qc.ca/documents/CAI_liste_resp_acces.pdf,"300, rue King E. #300 Sherbrooke (QC) J1G 1B1",France Massicotte-Dagenais,fmassicotte.rr05@ssss.gouv.qc.ca,,5/17/13,7/8/13
ASSS DE L'OUTAOUAIS,,qc/asss-de-l-outaouais,AGENCES DE LA SANTÉ,,,,,Quebec,ocd-division/country:ca/province:qc,Commision d'accès à l'information du Québec,http://www.cai.gouv.qc.ca/documents/CAI_liste_resp_acces.pdf,"104, rue Lois Gatineau (QC) J8Y 3R7",Stéphane Lance,stephanelance@ssss.gouv.qc.ca,,5/17/13,7/8/13
ASSS DE MONTRÉAL,,qc/asss-de-montreal,AGENCES DE LA SANTÉ,,,,,Quebec,ocd-division/country:ca/province:qc,Commision d'accès à l'information du Québec,http://www.cai.gouv.qc.ca/documents/CAI_liste_resp_acces.pdf,"3725, rue Saint-Denis Montréal (QC) H2X 3L9",DRE Louise Ayotte,louise_ayotte-rr06@ssss.gouv.qc.ca,,5/17/13,7/8/13
ASSS DES LAURENTIDES,,qc/asss-des-laurentides,AGENCES DE LA SANTÉ,,,,,Quebec,ocd-division/country:ca/province:qc,Commision d'accès à l'information du Québec,http://www.cai.gouv.qc.ca/documents/CAI_liste_resp_acces.pdf,"1000, rue Labelle #210 Saint-Jérôme (QC) J7Z 5N6",Julie Delaney,julie.delaney@ssss.gouv.qc.ca,,5/17/13,7/8/13
ASSS DES LAURENTIDES,,qc/asss-des-laurentides,AGENCES DE LA SANTÉ,,,,,Quebec,ocd-division/country:ca/province:qc,Commision d'accès à l'information du Québec,http://www.cai.gouv.qc.ca/documents/CAI_liste_resp_acces.pdf,"1000, rue Labelle #210 Saint-Jérôme (QC) J7Z 5N6",Marc Fortin,,,5/17/13,7/8/13
ASSS DU BAS-ST-LAURENT,,qc/asss-du-bas-st-laurent,AGENCES DE LA SANTÉ,,,,,Quebec,ocd-division/country:ca/province:qc,Commision d'accès à l'information du Québec,http://www.cai.gouv.qc.ca/documents/CAI_liste_resp_acces.pdf,"288, rue Pierre-Saindon #115 Rimouski (QC) G5L 9A8",René Dumont,rene.dumontasss01@ssss.gouv.qc.ca,,5/17/13,7/8/13
ASSS DU SAGUENAY-LAC-ST-JEAN,,qc/asss-du-saguenay-lac-st-jean,AGENCES DE LA SANTÉ,,,,,Quebec,ocd-division/country:ca/province:qc,Commision d'accès à l'information du Québec,http://www.cai.gouv.qc.ca/documents/CAI_liste_resp_acces.pdf,"930, rue Jacques-Cartier E. Saguenay (QC) G7H 7K9",Jean-François St-Gelais,jean-francois.st.gelais@ssss.gouv.qc.ca,,5/17/13,7/8/13
