title,abbr,key,category,parent,parent_key,description,url,jurisdiction,jurisdiction_code,source,source_url,address,contact,email,tags,created_at,updated_at
Advanced Education,AE,sk/AE,Ministries,,,,http://www.ae.gov.sk.ca/,Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"2010 12th Avenue, Regina, SK, Canada, S4P 0M3",,aeeinquiry@gov.sk.ca,,6/7/13,7/8/13
Agriculture,AG,sk/AG,Ministries,,,,http://www.agriculture.gov.sk.ca/,Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"3085 Albert Street, Regina, SK, Canada, S4S 0B1",,"",,6/7/13,7/8/13
Central Services,CS,sk/CS,Ministries,,,,http://www.cs.gov.sk.ca/,Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"1920 Rose Street, Regina, SK, Canada, S4P 0A9",,GSReception@gov.sk.ca,,6/7/13,7/8/13
Corrections and Policing,CP,sk/CP,Ministries,,,,http://www.justice.gov.sk.ca/Corrections-and-Policing/,Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"1874 Scarth Street, Regina, SK, Canada, S4P 4B3",,communicationsCPJU@gov.sk.ca,,6/7/13,7/8/13
Economy,ECON,sk/ECON,Ministries,,,,http://www.economy.gov.sk.ca,Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"300 - 2103  11th Avenue, Regina, SK, Canada, S4P 3Z811th Floor",,"",,6/7/13,7/8/13
Education,ED,sk/ED,Ministries,,,,http://www.education.gov.sk.ca/,Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"6th Floor, 2220 College Avenue, Regina, SK, Canada, S4P 4V9",,linquir@gov.sk.ca,,6/7/13,7/8/13
Energy and Resources - See Economy,energy-and-resources-see-economy,sk/energy-and-resources-see-economy,Ministries,,,,"",Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"",,"",,6/7/13,7/8/13
Environment,ENV,sk/ENV,Ministries,,,,http://www.environment.gov.sk.ca,Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"3211 Albert Street, Regina, SK, Canada, S4S 5W6",,centre.inquiry@gov.sk.ca,,6/7/13,7/8/13
Finance,FI,sk/FI,Ministries,,,,http://www.finance.gov.sk.ca/,Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"2350 Albert Street, Regina, SK, Canada, S4P 4A6",,communications@finance.gov.sk.ca,,6/7/13,7/8/13
"First Nations, M̩tis and Northern Affairs - See Government Relations",first-nations-ma-tis-and-northern-affairs-see-government-relations,sk/first-nations-ma-tis-and-northern-affairs-see-government-relations,Ministries,,,,"",Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"",,"",,6/7/13,7/8/13
