title,abbr,key,category,parent,parent_key,description,url,jurisdiction,jurisdiction_code,source,source_url,address,contact,email,tags,created_at,updated_at
4-H,,pe/4-h,,Agriculture and Forestry,pe/agriculture-and-forestry,,http://www.gov.pe.ca/af/ap&rd-info/dg.inc.php3,Saskatchewan,SK,"Index of Departments, Disivions and Sections",http://www.gov.pe.ca,"5th Floor, Jones Building 11 Kent Street Charlottetown, P.E.I. C1A 7N8",Shane Murphy,,,6/7/13,6/7/13
911 Call Answer - Transfer Service,,pe/911-call-answer-transfer-service,,"Environment, Labour and Justice",pe/environment-labour-and-justice,,http://www.gov.pe.ca/jps/csajp-info/dg.inc.php3,Saskatchewan,SK,"Index of Departments, Disivions and Sections",http://www.gov.pe.ca,"Fourth Floor, Shaw Building 105 Rochford Street Charlottetown, PE C1A 7N8",Erin Mitchell,,,6/7/13,6/7/13
Aboriginal Affairs Secretariat,,pe/aboriginal-affairs-secretariat,,Executive Council Office,pe/executive-council-office,,http://www.gov.pe.ca/eco/iapa-info/dg.inc.php3,Saskatchewan,SK,"Index of Departments, Disivions and Sections",http://www.gov.pe.ca,5th Floor Centre Shaw Building PO Box 2000 Charlottetown PE C1A 7N8,Matt McGuire,,,6/7/13,6/7/13
Acadian and Francophone Affairs Secretariat,,pe/acadian-and-francophone-affairs-secretariat,,Executive Council Office,pe/executive-council-office,,http://www.gov.pe.ca/eco/aafas-info/dg.inc.php3,Saskatchewan,SK,"Index of Departments, Disivions and Sections",http://www.gov.pe.ca,PO Box 58 Wellington PE C0B 2E0,Hon. Robert W.J. GhizAubrey Cormier,,,6/7/13,6/7/13
Acadian Museum,,pe/acadian-museum,,Tourism and Culture,pe/tourism-and-culture,,http://www.gov.pe.ca/tourism/mahf-info/dg.inc.php3,Saskatchewan,SK,"Index of Departments, Disivions and Sections",http://www.gov.pe.ca,Beaconsfield 2 Kent Street Charlottetown PEI C1A 1M6,Harry KiellyDr. David L Keenlyside,,,6/7/13,6/7/13
Access and Privacy Services,,pe/access-and-privacy-services,,"Environment, Labour and Justice",pe/environment-labour-and-justice,,http://www.gov.pe.ca/jps/csajp-info/dg.inc.php3,Saskatchewan,SK,"Index of Departments, Disivions and Sections",http://www.gov.pe.ca,"Fourth Floor, Shaw Building 105 Rochford Street Charlottetown, PE C1A 7N8",Erin Mitchell,,,6/7/13,6/7/13
Access PEI Alberton,,pe/access-pei-alberton,,"Fisheries, Aquaculture and Rural Development",pe/fisheries-aquaculture-and-rural-development,,http://www.gov.pe.ca/fa/apws-info/dg.inc.php3,Saskatchewan,SK,"Index of Departments, Disivions and Sections",http://www.gov.pe.ca,"PO Box 1180 548 Main St Montague, PE C0A 1R0",Tim G Garrity,,,6/7/13,6/7/13
Access PEI Charlottetown,,pe/access-pei-charlottetown,,"Fisheries, Aquaculture and Rural Development",pe/fisheries-aquaculture-and-rural-development,,http://www.gov.pe.ca/fa/apws-info/dg.inc.php3,Saskatchewan,SK,"Index of Departments, Disivions and Sections",http://www.gov.pe.ca,"PO Box 1180 548 Main St Montague, PE C0A 1R0",Tim G Garrity,,,6/7/13,6/7/13
Access PEI Montague,,pe/access-pei-montague,,"Fisheries, Aquaculture and Rural Development",pe/fisheries-aquaculture-and-rural-development,,http://www.gov.pe.ca/fa/apws-info/dg.inc.php3,Saskatchewan,SK,"Index of Departments, Disivions and Sections",http://www.gov.pe.ca,"PO Box 1180 548 Main St Montague, PE C0A 1R0",Tim G Garrity,,,6/7/13,6/7/13
Access PEI O'Leary,,pe/access-pei-o-leary,,"Fisheries, Aquaculture and Rural Development",pe/fisheries-aquaculture-and-rural-development,,http://www.gov.pe.ca/fa/apws-info/dg.inc.php3,Saskatchewan,SK,"Index of Departments, Disivions and Sections",http://www.gov.pe.ca,"PO Box 1180 548 Main St Montague, PE C0A 1R0",Tim G Garrity,,,6/7/13,6/7/13
