title,abbr,key,category,parent,parent_key,description,url,jurisdiction,jurisdiction_code,source,source_url,address,contact,email,tags,created_at,updated_at
ASSS DE CHAUDIÈRE-APPALACHES,"",qc/ASSS-DE-CHAUDIÈRE-APPALACHES,AGENCES DE LA SANTÉ,"","","","",Quebec,QC,Commision d'accès à l'information du Québec,http://www.cai.gouv.qc.ca/documents/CAI_liste_resp_acces.pdf,"363, rte Cameron Sainte-Marie (QC) G6E 3E2",Guylaine Morin,guylainemorin@ssss.gouv.qc.ca,"",5/17/13,5/29/13
ASSS DE LA CAPITALE-NATIONALE,"",qc/ASSS-DE-LA-CAPITALE-NATIONALE,AGENCES DE LA SANTÉ,"","","","",Quebec,QC,Commision d'accès à l'information du Québec,http://www.cai.gouv.qc.ca/documents/CAI_liste_resp_acces.pdf,"555, boul. Wilfrid-Hamel E. Québec (QC) G1M 3X7",Suzanne Rompré,suzanne.rompre@ssssf.gouv.qc.ca,"",5/17/13,5/29/13
ASSS DE LA CÔTE-NORD,"",qc/ASSS-DE-LA-CÔTE-NORD,AGENCES DE LA SANTÉ,"","","","",Quebec,QC,Commision d'accès à l'information du Québec,http://www.cai.gouv.qc.ca/documents/CAI_liste_resp_acces.pdf,"691, rue Jalbert Baie-Comeau (QC) G5C 2A1",Sandra Morin,sandra_morin@ssss.gouv.qc.ca,"",5/17/13,5/29/13
ASSS DE LA GASPÉSIE-ILES-DE-LA-MADELEINE,"",qc/ASSS-DE-LA-GASPÉSIE-ILES-DE-LA-MADELEINE,AGENCES DE LA SANTÉ,"","","","",Quebec,QC,Commision d'accès à l'information du Québec,http://www.cai.gouv.qc.ca/documents/CAI_liste_resp_acces.pdf,"144, boul. Gaspé Gaspé (QC) G4X 1A9",Marie-Christine Fortin,marie-christine.fortin.asssgim@ssss.gouv.qc.ca,"",5/17/13,5/29/13
ASSS DE LA MAURICIE ET DU CENTRE-DU-QUÉBEC,"",qc/ASSS-DE-LA-MAURICIE-ET-DU-CENTRE-DU-QUÉBEC,AGENCES DE LA SANTÉ,"","","","",Quebec,QC,Commision d'accès à l'information du Québec,http://www.cai.gouv.qc.ca/documents/CAI_liste_resp_acces.pdf,"550, rue Bonaventure Trois-Rivières (QC) G9A 2B5",Gaétan Lamy,,"",5/17/13,5/29/13
ASSS DE LA MONTÉRÉGIE,"",qc/ASSS-DE-LA-MONTÉRÉGIE,AGENCES DE LA SANTÉ,"","","","",Quebec,QC,Commision d'accès à l'information du Québec,http://www.cai.gouv.qc.ca/documents/CAI_liste_resp_acces.pdf,"1255, rue Beauregard Longueuil (QC) J4K 2M3",Christine Daniel,christine.daniel.agence16@ssss.gouv.qc.ca,"",5/17/13,5/29/13
ASSS DE L'ABITIBI-TÉMISCAMINGUE,"",qc/ASSS-DE-L'ABITIBI-TÉMISCAMINGUE,AGENCES DE LA SANTÉ,"","","","",Quebec,QC,Commision d'accès à l'information du Québec,http://www.cai.gouv.qc.ca/documents/CAI_liste_resp_acces.pdf,"1, 9e Rue Rouyn-Noranda (QC) J9X 2A9",Denise Stewart,denise_stewart@ssss.gouv.qc.ca,"",5/17/13,5/29/13
ASSS DE L'ABITIBI-TÉMISCAMINGUE,"",qc/ASSS-DE-L'ABITIBI-TÉMISCAMINGUE,AGENCES DE LA SANTÉ,"","","","",Quebec,QC,Commision d'accès à l'information du Québec,http://www.cai.gouv.qc.ca/documents/CAI_liste_resp_acces.pdf,"1, 9e Rue Rouyn-Noranda (QC) J9X 2A9",Marie-Eve Therrien,marieeve_therrien@ssss.gouv.qc.ca,"",5/17/13,5/29/13
ASSS DE LANAUDIÈRE,"",qc/ASSS-DE-LANAUDIÈRE,AGENCES DE LA SANTÉ,"","","","",Quebec,QC,Commision d'accès à l'information du Québec,http://www.cai.gouv.qc.ca/documents/CAI_liste_resp_acces.pdf,"345, rue Curé-Majeau Joliette (QC) J6E 8S8",Doris Prince,doris.prince@ssss.gouv.qc.ca,"",5/17/13,5/29/13
ASSS DE LAVAL,"",qc/ASSS-DE-LAVAL,AGENCES DE LA SANTÉ,"","","","",Quebec,QC,Commision d'accès à l'information du Québec,http://www.cai.gouv.qc.ca/documents/CAI_liste_resp_acces.pdf,"800, boul. Chomedey, Tour A Laval (QC) H7V 3Y4",Yves St-Onge,ystonge@ssss.gouv.qc.ca,"",5/17/13,5/29/13
ASSS DE L'ESTRIE,"",qc/ASSS-DE-L'ESTRIE,AGENCES DE LA SANTÉ,"","","","",Quebec,QC,Commision d'accès à l'information du Québec,http://www.cai.gouv.qc.ca/documents/CAI_liste_resp_acces.pdf,"300, rue King E. #300 Sherbrooke (QC) J1G 1B1",France Massicotte-Dagenais,fmassicotte.rr05@ssss.gouv.qc.ca,"",5/17/13,5/29/13
ASSS DE L'OUTAOUAIS,"",qc/ASSS-DE-L'OUTAOUAIS,AGENCES DE LA SANTÉ,"","","","",Quebec,QC,Commision d'accès à l'information du Québec,http://www.cai.gouv.qc.ca/documents/CAI_liste_resp_acces.pdf,"104, rue Lois Gatineau (QC) J8Y 3R7",Stéphane Lance,stephanelance@ssss.gouv.qc.ca,"",5/17/13,5/29/13
ASSS DE MONTRÉAL,"",qc/ASSS-DE-MONTRÉAL,AGENCES DE LA SANTÉ,"","","","",Quebec,QC,Commision d'accès à l'information du Québec,http://www.cai.gouv.qc.ca/documents/CAI_liste_resp_acces.pdf,"3725, rue Saint-Denis Montréal (QC) H2X 3L9",DRE Louise Ayotte,louise_ayotte-rr06@ssss.gouv.qc.ca,"",5/17/13,5/29/13
ASSS DES LAURENTIDES,"",qc/ASSS-DES-LAURENTIDES,AGENCES DE LA SANTÉ,"","","","",Quebec,QC,Commision d'accès à l'information du Québec,http://www.cai.gouv.qc.ca/documents/CAI_liste_resp_acces.pdf,"1000, rue Labelle #210 Saint-Jérôme (QC) J7Z 5N6",Julie Delaney,julie.delaney@ssss.gouv.qc.ca,"",5/17/13,5/29/13
ASSS DES LAURENTIDES,"",qc/ASSS-DES-LAURENTIDES,AGENCES DE LA SANTÉ,"","","","",Quebec,QC,Commision d'accès à l'information du Québec,http://www.cai.gouv.qc.ca/documents/CAI_liste_resp_acces.pdf,"1000, rue Labelle #210 Saint-Jérôme (QC) J7Z 5N6",Marc Fortin,,"",5/17/13,5/29/13
